gpId,Квартира,Этаж,Комнат,"Площадь, м²",Планировка,"Цена, руб.","Цена за м², руб.",Статус,"Цена продажи, руб.","Скидка, руб.","Получено средств (залог, ипотечные выплаты), руб.","Остаток, руб."
ГП-1,М-ГП1-А-001,1,2,54.86,1КЛ2СТ,3000000.00,54684.65,продана,3000000.00,,2400000.00,600000.00
ГП-1,М-ГП1-А-002,1,3,74.37,ТСС123ЛК,3600000.00,48406.62,,,,,
ГП-1,М-ГП1-А-003,1,2,55.33,СКЛ12,3000000.00,54220.13,,,,,
ГП-1,М-ГП1-А-004,1,1,35.29,СКЛ1Т,2000000.00,56673.28,,,,,
ГП-1,М-ГП1-А-005,1,2,55.33,12ЛКС,3000000.00,54220.13,продана,3000000.00,,2500000.00,500000.00
ГП-1,М-ГП1-А-006,1,1,35.97,1ЛКС,2000000.00,55601.89,продана,2000000.00,,1400000.00,600000.00
ГП-1,М-ГП1-А-007,2,2,54.86,1КЛ2СТ,3200000.00,58330.30,продана,3200000.00,,2100000.00,1100000.00
ГП-1,М-ГП1-А-008,2,3,74.37,ТСС123ЛК,3800000.00,51095.87,продана,3800000.00,,3200000.00,600000.00
ГП-1,М-ГП1-А-009,2,2,55.33,СКЛ12,3200000.00,57834.81,продана,3170000.00,30000.00,2900000.00,270000.00
ГП-1,М-ГП1-А-010,2,1,35.29,СКЛ1Т,2300000.00,65174.27,продана,2190000.00,110000.00,200000.00,1990000.00
ГП-1,М-ГП1-А-011,2,2,55.33,12ЛКС,3400000.00,61449.48,,,,,
ГП-1,М-ГП1-А-012,2,1,35.97,1ЛКС,2500000.00,69502.36,,,,,
ГП-1,М-ГП1-А-013,2,1,38.21,СКЛ1,2600000.00,68045.01,,,,,
ГП-1,М-ГП1-А-014,2,2,54.86,ТС1ЛК2,3400000.00,61975.94,продана,3400000.00,,2400000.00,1000000.00
ГП-1,М-ГП1-А-015,3,2,54.86,1КЛ2СТ,3300000.00,60153.12,продана,3220000.00,80000.00,900000.00,2320000.00
ГП-1,М-ГП1-А-016,3,3,74.37,ТСС123ЛК,3900000.00,52440.50,,,,,
ГП-1,М-ГП1-А-017,3,2,55.33,СКЛ12,3300000.00,59642.15,,,,,
